topic_id,topic_label,top_words
0,Network / Data / Networks,"network, data, networks, energy, cloud, sensor, based, wireless, nodes, scheme"
1,Information / Systems / Model,"information, systems, model, research, social, web, user, management, knowledge, business"
2,Data / Research / Engineering,"data, research, engineering, systems, applications, software, learning, challenges, survey, future"
3,Networks / Network / Engineering,"networks, network, engineering, channel, systems, power, electronic, performance, electrical, time"
4,Data / Software / Analysis,"data, software, analysis, engineering, test, based, methods, models, techniques, learning"
5,Method / Flow / Model,"method, flow, model, numerical, applications, interdisciplinary, finite, equations, element, engineering"
6,Algorithm / Optimization / Problem,"algorithm, optimization, problem, algorithms, problems, search, methods, graph, method, time"
7,Model / Models / Mathematics,"model, models, mathematics, engineering, methods, theory, analysis, based, structure, properties"
8,Image / Based / Recognition,"image, based, recognition, engineering, images, features, method, proposed, detection, using"
9,Performance / Systems / Time,"performance, systems, time, architecture, hardware, memory, parallel, scheduling, design, theory"
10,Security / Engineering / Applications,"security, engineering, applications, systems, design, elsevier, rights, reserved, paper, architecture"
11,Fuzzy / Decision / Information,"fuzzy, decision, information, model, logic, set, systems, based, theory, language"
