cluster,size,top_terms,dominant_subjects,example_titles
6,881,"data, systems, design, research, information, management, analysis, security, framework, user","Computer Science, Computer Science, Information Systems, Computer Science, Software Engineering, Computer Science, Interdisciplinary Applications, Computer Science, Theory & Methods",The many faces of publish/subscribe | Methodologies for Data Quality Assessment and Improvement | A Survey of Attack and Defense Techniques for Reputation Systems
35,639,"models, model, data, analysis, estimation, bayesian, using, methods, distribution, carlo","Computer Science, Computer Science, Interdisciplinary Applications, Mathematics, Computer Science, Theory & Methods, Engineering",Conditional Random Fields for Korean Morpheme Segmentation and POS Tagging | Real-time texture synthesis by patch-based sampling | On Filtering the Noise from the Random Parameters in Monte Carlo Rendering
9,619,"sensor, sensor networks, wireless, wireless sensor, networks, energy, nodes, network, sensor network, wsns","Computer Science, Telecommunications, Computer Science, Information Systems, Engineering, Engineering, Electrical & Electronic",Coverage Problems in Sensor Networks: A Survey | Underwater Wireless Sensor Networks: A New Challenge for Topology Control-Based Systems | Design Considerations of Sub-mW Indoor Light Energy Harvesting for Wireless Sensor Systems
51,613,"image, images, segmentation, algorithm, method, detection, based, features, visual, color","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Software Engineering, Engineering, Engineering, Electrical & Electronic",Dynamic Shading Enhancement for Reflectance Transformation Imaging | Automatic Analysis of UV-Induced Fluorescence Imagery of Historical Violins | Evaluating HDR Rendering Algorithms
4,598,"performance, memory, parallel, high, architecture, computing, systems, applications, processor, hardware","Computer Science, Computer Science, Theory & Methods, Computer Science, Hardware & Architecture, Computer Science, Software Engineering, Computer Science, Interdisciplinary Applications",A survey of rollback-recovery protocols in message-passing systems | Algorithms and data structures for flash memories | High-Performance Computing with Quantum Processing Units
57,558,"network, networks, traffic, optical, routing, performance, control, service, internet, bandwidth","Computer Science, Computer Science, Information Systems, Telecommunications, Engineering, Engineering, Electrical & Electronic",Survey of network-based defense mechanisms countering the DoS and DDoS problems | NANA: A Nano-Scale Active Network Architecture | Photonic Network-on-Chip Architectures Using Multi layer Deposited Silicon Materials for High-Performance Chip Multiprocessors
8,557,"problem, complexity, systems, algorithm, algorithms, linear, time, number, keywords keyword, functions","Computer Science, Computer Science, Theory & Methods, Mathematics, Mathematics, Applied, Computer Science, Software Engineering","Dynamic Entropy-Compressed Sequences and Full-Text Indexes | Low-Dimensional Lattice Basis Reduction Revisited | Coresets, Sparse Greedy Approximation, and the Frank-Wolfe Algorithm"
18,546,"power, energy, design, low, circuit, circuits, consumption, high, performance, chip","Computer Science, Computer Science, Hardware & Architecture, Engineering, Engineering, Electrical & Electronic, Computer Science, Software Engineering",Architectural Implications of Quantum Computing Technologies | Predictive Technology Model for Nano-CMOS Design Exploration | Automated Design of Pin-Constrained Digital Microfluidic Biochips Under Droplet-Interference Constraints
3,513,"software, development, engineering, software development, software engineering, project, quality, process, requirements, projects","Computer Science, Computer Science, Software Engineering, Computer Science, Information Systems, Computer Science, Theory & Methods, Engineering","Search-Based Software Engineering: Trends, Techniques and Applications | A Survey of Software Aging and Rejuvenation Studies | Model-Driven Engineering of Self-Adaptive Software with EUREMA"
49,498,"neural, neural networks, neural network, network, networks, learning, artificial, artificial neural, deep, prediction","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Interdisciplinary Applications, Computer Science, Theory & Methods, Engineering",Visual Recognition of Ancient Inscriptions Using Convolutional Neural Network and Fisher Vector | Robust Learning Approach for Neuro-Inspired Nanoscale Crossbar Architecture | Spike-Time-Dependent Encoding for Neuromorphic Processors
